inchikey2D	inchi	molecularFormula	rank	score	name	smiles	xlogp	pubchemids	links
YHUAHVPZGNXPMS	InChI=1S/C8H11NO2/c1-3-6-8(11)7(10)4-5-9(6)2/h4-5,11H,3H2,1-2H3	C8H11NO2	83	-2568.615680960578	1-Methyl-2-ethyl-3-hydroxypyridin-4-one	O=C1C=CN(C(=C1O)CC)C	1.574	86320	MeSH:(1-methyl-2-ethyl-3-hydroxypyridin-4-one);biological
SKYHUMUZNRYJMS	InChI=1S/C8H11NO2/c10-8(11)6-9-7-4-2-1-3-5-7/h1-4,7,9H,5-6H2,(H,10,11)	C8H11NO2	84	-2571.9933757123467	DL-Dihydrophenylglycine	O=C(O)CNC1C=CC=CC1	0.3400000000000001	93533589;54311115;22328589	biological
GSOKJSHWRGQMGP	InChI=1S/C8H11NO2/c1-6-3-4-9(2)7(6)5-8(10)11/h3-4H,5H2,1-2H3,(H,10,11)	C8H11NO2	85	-2572.461957031383	2-(1,3-dimethylpyrrol-2-yl)acetate	O=C(O)CC1=C(C=CN1C)C	0.741	22288570;22288569	biological
ROLBJTGZEPVEEG	InChI=1S/C8H11NO2/c1-5-3-9-6(2)8(11)7(5)4-10/h3,10-11H,4H2,1-2H3	C8H11NO2	86	-2573.651835714913	3-Deoxypyridoxol	OC=1C(=NC=C(C1CO)C)C	0.5229999999999999	78533	MeSH:(5'-deoxypyridoxine);biological
DFXMZJIZWYNSBP	InChI=1S/C8H11NO2/c1-6(10)9-7-3-2-4-8(11)5-7/h5H,2-4H2,1H3,(H,9,10)	C8H11NO2	87	-2575.406127245998	N-(3-oxocyclohexen-1-yl)acetamide	O=C1C=C(N=C(O)C)CCC1	0.14599999999999996	2751403	ZINC bio:(ZINC04267971)
SOVXTYUYJRFSOG	InChI=1S/C8H11NO2/c10-6-5-9-7-1-3-8(11)4-2-7/h1-4,9-11H,5-6H2	C8H11NO2	88	-2575.903920258583	2-(4-Hydroxyanilino)ethanol	OC1=CC=C(C=C1)NCCO	0.5529999999999997	3016506	biological
KKOWAYISKWGDBG	InChI=1S/C8H11NO2/c1-5-7(4-10)3-9-6(2)8(5)11/h3,10-11H,4H2,1-2H3	C8H11NO2	89	-2576.1321788189016	Deoxypyridoxine	OC=1C(=NC=C(C1C)CO)C	0.09399999999999997	23054758;6094	MeSH:(4-deoxypyridoxine);biological;CHEBI:(65083);ZINC bio:(ZINC00001264);Biocyc:(CPD0-1605)
OOGCHGUNVLXNNP	InChI=1S/C8H11NO2/c1-7(2)6-11-8(10)4-3-5-9/h3-4,7H,6H2,1-2H3	C8H11NO2	90	-2581.1845019872558	2-Methylpropyl 3-cyano-2-propenoate	N#CC=CC(=O)OCC(C)C	1.0910000000000002	6433594;26428	biological
QRWOVIRDHQJFDB	InChI=1S/C8H11NO2/c1-6(2)5-11-8(10)7(3)4-9/h6H,3,5H2,1-2H3	C8H11NO2	91	-2583.133866870547	Bucrilate	N#CC(=C)C(=O)OCC(C)C	1.2520000000000002	14046	MeSH:(Bucrylate);biological
YEKDUBMGZZTUDY	InChI=1S/C8H11NO2/c1-8(2,3)9-6(10)4-5-7(9)11/h4-5H,1-3H3	C8H11NO2	92	-2584.1239356113792	N-tert-Butylmaleimide	O=C1C=CC(=O)N1C(C)(C)C	0.766	643190	biological
GWKXXFCTEUGKGX	InChI=1S/C8H11NO2/c1-6-3-4-7(5-9)11-8(6)10-2/h4,6,8H,3H2,1-2H3	C8H11NO2	93	-2585.0182815510802	2-methoxy-3-methyl-3,4-dihydro-2H-pyran-6-carbonitrile	N#CC=1OC(OC)C(C)CC1	1.1320000000000001	7159859;7159858;7159857;7159856;2751233	ZINC bio:(ZINC04267495 ZINC04267496 ZINC04267498 ZINC04267499)
DGFZETPZVVBGDX	InChI=1S/C8H11NO2/c1-4-6(3)9-8(11)5(2)7(4)10/h1-3H3,(H2,9,10,11)	C8H11NO2	94	-2585.222541274962	Oprea1_144423	OC=1N=C(C(=C(O)C1C)C)C	1.4529999999999998	54684729;40469169	biological
CMQDTHWXQUKRKA	InChI=1S/C8H11NO2/c1-6-4-8(11-3)5-7(2)9(6)10/h4-5H,1-3H3	C8H11NO2	95	-2586.4139226721136	4-methoxy-2,6-dimethyl-1-oxidopyridin-1-ium	O=N1=C(C=C(OC)C=C1C)C	2.2899999999999996	2751820	ZINC bio:(ZINC00392938)
GJALSWMYKNXWNK	InChI=1S/C8H11NO2/c10-7-5-3-1-2-4-6(5)8(11)9-7/h9-11H,1-4H2	C8H11NO2	96	-2587.209647149057	""	OC=1NC(O)=C2C1CCCC2	2.433	53631539	biological
MYCMSSGQDMWPFX	InChI=1S/C8H11NO2/c1-11-6-5-9-4-2-3-8(9)7-10/h2-4,7H,5-6H2,1H3	C8H11NO2	97	-2587.2492412325278	1-(2-methoxyethyl)-1H-pyrrole-2-carbaldehyde	O=CC1=CC=CN1CCOC	0.6419999999999999	17621005	ZINC bio:(ZINC09261700)
VYHSWZULFYFDMO	InChI=1S/C8H11NO2/c10-6-5-9-7-3-1-2-4-8(7)11/h1-4,9-11H,5-6H2	C8H11NO2	98	-2587.5919812788225	2-(2-Hydroxyanilino)ethanol	OC1=CC=CC=C1NCCO	0.9819999999999998	3016046	ZINC bio:(ZINC02562570)
DYIFXZWICBFBHF	InChI=1S/C8H11NO2/c1-4-5(2)9-6(3)7(4)8(10)11/h9H,1-3H3,(H,10,11)	C8H11NO2	99	-2592.522169040821	1H-Pyrrole-3-carboxylic acid, 2,4,5-trimethyl-	O=C(O)C1=C(NC(=C1C)C)C	1.4340000000000002	14444309	biological
IRTCUYDVVYDKCX	InChI=1S/C8H11NO2/c1-3-4-6-5(2)7(10)9-8(6)11/h3-4H2,1-2H3,(H,9,10,11)	C8H11NO2	100	-2599.8697606584656	""	O=C1N=C(O)C(=C1CCC)C	1.374	44718966	Natural Products:(UNPD65891)
LKRGPFUSRGAOIP	InChI=1S/C8H11NO2/c1-11-7-6-9-5-3-2-4-8(9)10/h2-5H,6-7H2,1H3	C8H11NO2	101	-2601.1338795639017	""	O=C1C=CC=CN1CCOC	-0.161	45869459	biological
QFPRRXUPCPFWKD	InChI=1S/C8H11NO2/c10-5-6-1-3-9-4-2-7(11)8(6)9/h1,3,7,10-11H,2,4-5H2	C8H11NO2	102	-2604.3668987160036	Dehdroheliotridine	OCC=1C=CN2C1C(O)CC2	-0.28300000000000003	272106;105037;33501	HSDB:(26400-24-8);MeSH:(dehydroretronecine dehydroretronecine);biological
GSOKJSHWRGQMGP	InChI=1S/C8H11NO2/c1-6-3-4-9(2)7(6)5-8(10)11/h3-4H,5H2,1-2H3,(H,10,11)	C8H11NO2	103	-2604.4862342785736	2-(1,3-dimethylpyrrol-2-yl)acetate	O=C(O)CC1=C(C=CN1C)C	0.741	22288570;22288569	biological
WYNFZPDSCXNKBZ	InChI=1S/C8H11NO2/c1-9-5-6-7(10)3-2-4-8(6)11/h5,10H,2-4H2,1H3/p-1	C8H11NO2	104	-2604.7899244970613	""	O=C1C(C=NC)=C([O-])CCC1	0.16899999999999998	51576635	ZINC bio:(ZINC18037538)
BEXLXSRWUSGOOV	InChI=1S/C8H11NO2/c1-2-3-4-5-7(6-9)8(10)11/h5H,2-4H2,1H3,(H,10,11)	C8H11NO2	105	-2605.933172761488	Butylcyanoacrylate	[H]C(=C(C#N)C(=O)O)CCCC	1.979	53630044;53630043;24826231;24826230;21693347;18764630	MeSH:(Enbucrilate);biological
JGURTAONFNVCSZ	InChI=1S/C8H11NO2/c1-9(2)5-6-7(10)3-4-8(6)11/h5H,3-4H2,1-2H3	C8H11NO2	106	-2607.271136316067	2-[(dimethylamino)methylene]cyclopentane-1,3-dione	O=C1C(=CN(C)C)C(=O)CC1	-0.0030000000000000443	643368	ZINC bio:(ZINC04267316)
FLDFLOSJSWMHOS	InChI=1S/C8H11NO2/c10-7-3-5-1-2-9-6(5)4-8(7)11/h3,6,9-11H,1-2,4H2	C8H11NO2	107	-2610.3072061493363	2,3,7,7a-tetrahydro-1H-indole-5,6-diol	[H]C12NCCC2=CC(O)=C(O)C1	0.15200000000000002	11963690;4369170	biological
KQNFWPZPMIRQPE	InChI=1S/C8H11NO2/c1-5-3-8(11)9-4-7(5)6(2)10/h4-5H,3H2,1-2H3,(H,9,11)	C8H11NO2	108	-2610.972634227895	5-acetyl-4-methyl-3,4-dihydro-1H-pyridin-2-one	O=C(C1=CN=C(O)CC1C)C	-0.07700000000000018	7160017;7160016;2751318	ZINC bio:(ZINC04267732 ZINC04267733)
VFZHUSWYUGCEBH	InChI=1/C8H11NO2/c1-2-11-6-8-4-3-7(5-10)9-8/h3-5,9H,2,6H2,1H3	C8H11NO2	109	-2612.3842746242062	""	CCOCC1=CC=C(C=O)N1	0.669	""	Natural Products:(UNPD203666)
KKOWAYISKWGDBG	InChI=1S/C8H11NO2/c1-5-7(4-10)3-9-6(2)8(5)11/h3,10-11H,4H2,1-2H3	C8H11NO2	110	-2622.106321174831	Deoxypyridoxine	OC=1C(=NC=C(C1C)CO)C	0.09399999999999997	23054758;6094	MeSH:(4-deoxypyridoxine);biological;CHEBI:(65083);ZINC bio:(ZINC00001264);Biocyc:(CPD0-1605)
MYCMSSGQDMWPFX	InChI=1S/C8H11NO2/c1-11-6-5-9-4-2-3-8(9)7-10/h2-4,7H,5-6H2,1H3	C8H11NO2	111	-2623.6012276777524	1-(2-methoxyethyl)-1H-pyrrole-2-carbaldehyde	O=CC1=CC=CN1CCOC	0.6419999999999999	17621005	ZINC bio:(ZINC09261700)
INIJHFWSVNHMDI	InChI=1S/C8H11NO2/c10-7-3-5-1-2-9-6(5)4-8(7)11/h3-4,7-11H,1-2H2	C8H11NO2	112	-2625.0868351800377	""	OC1C=C2NCCC2=CC1O	-0.13900000000000007	25200514	biological;Biocyc:(CPD-8853)
YHUAHVPZGNXPMS	InChI=1S/C8H11NO2/c1-3-6-8(11)7(10)4-5-9(6)2/h4-5,11H,3H2,1-2H3	C8H11NO2	113	-2625.3800258155093	1-Methyl-2-ethyl-3-hydroxypyridin-4-one	O=C1C=CN(C(=C1O)CC)C	1.574	86320	MeSH:(1-methyl-2-ethyl-3-hydroxypyridin-4-one);biological
IUDAKVCZLISFEM	InChI=1S/C8H11NO2/c9-8(7(10)11)3-1-4-5(2-3)6(4)8/h3-6H,1-2,9H2,(H,10,11)	C8H11NO2	114	-2625.537511837602	""	O=C(O)C1(N)C2CC3C(C2)C31	-2.5460000000000003	98074940;98074936;97052864;57340541;57340540;45084783	biological
QFPRRXUPCPFWKD	InChI=1S/C8H11NO2/c10-5-6-1-3-9-4-2-7(11)8(6)9/h1,3,7,10-11H,2,4-5H2	C8H11NO2	115	-2626.9839653764366	Dehdroheliotridine	OCC=1C=CN2C1C(O)CC2	-0.28300000000000003	272106;105037;33501	HSDB:(26400-24-8);MeSH:(dehydroretronecine dehydroretronecine);biological
LCWFIBYPSAWVLI	InChI=1S/C8H11NO2/c1-3-9-5-4-7(10)8(11)6(9)2/h4-5,11H,3H2,1-2H3	C8H11NO2	116	-2627.604014486508	CP21 (Chelating agent)	O=C1C=CN(C(=C1O)C)CC	1.744	90127578;94413	MeSH:(1-ethyl-2-methyl-3-hydroxypyridin-4-one);biological
SVKWIAWDUZLHGL	InChI=1S/C8H11NO2/c1-2-3-4-7(5-6-9)8(10)11/h5H,2-4H2,1H3,(H,10,11)	C8H11NO2	117	-2627.8364746868338	(2Z)-2-(cyanomethylidene)hexanoate	[H]C(C#N)=C(C(=O)O)CCCC	1.475	87174683;54326660;22999459;17874299	biological
YEKDUBMGZZTUDY	InChI=1S/C8H11NO2/c1-8(2,3)9-6(10)4-5-7(9)11/h4-5H,1-3H3	C8H11NO2	118	-2629.1586079339113	N-tert-Butylmaleimide	O=C1C=CC(=O)N1C(C)(C)C	0.766	643190	biological
JPWITCRJVNDZOC	InChI=1S/C8H11NO2/c1-6(2)3-4-7(5-9)8(10)11/h4,6H,3H2,1-2H3,(H,10,11)	C8H11NO2	119	-2630.4410839047855	(Z)-2-cyano-5-methylhex-2-enoate	[H]C(=C(C#N)C(=O)O)CC(C)C	1.9180000000000001	82254006;53968379;17915052;17915051	biological
ROLBJTGZEPVEEG	InChI=1S/C8H11NO2/c1-5-3-9-6(2)8(11)7(5)4-10/h3,10-11H,4H2,1-2H3	C8H11NO2	120	-2632.095849358254	3-Deoxypyridoxol	OC=1C(=NC=C(C1CO)C)C	0.5229999999999999	78533	MeSH:(5'-deoxypyridoxine);biological
IIKHONWHFIKUQV	InChI=1S/C8H11NO2/c1-3-11-8(10)7-5-4-6-9(7)2/h4-6H,3H2,1-2H3	C8H11NO2	121	-2632.55721282384	Ethyl 1-methylpyrrole-2-carboxylate	O=C(OCC)C1=CC=CN1C	1.4949999999999999	90112	ZINC bio:(ZINC05858368)
GGWBSAHRYPTUIJ	InChI=1S/C8H11NO2/c1-3-6-5-7(10)9(4-2)8(6)11/h5H,3-4H2,1-2H3	C8H11NO2	122	-2632.576181307218	1,3-diethylpyrrole-2,5-dione	O=C1C=C(C(=O)N1CC)CC	0.5339999999999998	53837663;22022549	biological
IIKHONWHFIKUQV	InChI=1S/C8H11NO2/c1-3-11-8(10)7-5-4-6-9(7)2/h4-6H,3H2,1-2H3	C8H11NO2	123	-2633.2397928843607	Ethyl 1-methylpyrrole-2-carboxylate	O=C(OCC)C1=CC=CN1C	1.4949999999999999	90112	ZINC bio:(ZINC05858368)
JNPCNDJVEUEFBO	InChI=1S/C8H11NO2/c1-2-3-6-9-7(10)4-5-8(9)11/h4-5H,2-3,6H2,1H3	C8H11NO2	124	-2634.4312652012604	N-Butylmaleimide	O=C1C=CC(=O)N1CCCC	0.8159999999999998	239780	biological;ZINC bio:(ZINC01677322)
RONGNYRLGDRKLM	InChI=1S/C8H11NO2/c1-6(10)7-3-4-8(11)9(2)5-7/h5H,3-4H2,1-2H3	C8H11NO2	125	-2637.5032209799865	5-acetyl-1-methyl-3,4-dihydropyridin-2-one	O=C(C1=CN(C(=O)CC1)C)C	-0.43000000000000005	2751323	ZINC bio:(ZINC04267741)
DYIFXZWICBFBHF	InChI=1S/C8H11NO2/c1-4-5(2)9-6(3)7(4)8(10)11/h9H,1-3H3,(H,10,11)	C8H11NO2	126	-2641.219708942909	1H-Pyrrole-3-carboxylic acid, 2,4,5-trimethyl-	O=C(O)C1=C(NC(=C1C)C)C	1.4340000000000002	14444309	biological
PVLQTYFKRFUPNS	InChI=1S/C8H11NO2/c1-2-6-9-7(10)4-3-5-8(9)11/h2H,1,3-6H2	C8H11NO2	127	-2641.3747622232113	2,6-Piperidinedione, 1-(2-propenyl)-	O=C1N(C(=O)CCC1)CC=C	0.1449999999999999	11789405	biological
KOACPIVVJXJTHO	InChI=1S/C8H11NO2/c1-6(2)5-7(3-4-9)8(10)11/h3,6H,5H2,1-2H3,(H,10,11)	C8H11NO2	128	-2643.762585521921	(2Z)-2-(cyanomethylidene)-4-methylpentanoate	[H]C(C#N)=C(C(=O)O)CC(C)C	1.4140000000000001	54004694;23166297;23166296	biological
QPCNVCJEHULPQY	InChI=1S/C8H11NO2/c1-3-4-5-9-6-7(2)8(10)11/h2-5H2,1H3	C8H11NO2	129	-2648.446456108772	""	O=C([O-])C(C#[N+]CCCC)=C	1.0899999999999999	45790090;45790089	biological
GHTCXZNWFLKVEC	InChI=1S/C8H11NO2/c1-3-7(5-9)4-6(2)8(10)11/h7H,2-4H2,1H3,(H,10,11)	C8H11NO2	130	-2651.3398581392944	""	N#CC(CC(=C)C(=O)O)CC	0.7360000000000001	53839026	biological
DJSPVBWLAAHNCJ	InChI=1S/C8H11NO2/c1-2-3-4-6-5-9-7(6)8(10)11/h5H,2-4H2,1H3,(H,10,11)	C8H11NO2	131	-2652.585153653782	""	O=C(O)C=1N=CC1CCCC	1.409	53763719	biological
VFZHUSWYUGCEBH	InChI=1/C8H11NO2/c1-2-11-6-8-4-3-7(5-10)9-8/h3-5,9H,2,6H2,1H3	C8H11NO2	132	-2652.635040265258	""	CCOCC1=CC=C(C=O)N1	0.669	""	Natural Products:(UNPD203666)
XYKXZCKJWANUMA	InChI=1S/C8H11NO2/c1-7(8(10)11)5-3-2-4-6-9/h1-5H2,(H,10,11)	C8H11NO2	133	-2653.248930051124	""	N#CCCCCC(=C)C(=O)O	0.801	23196517;23196516	biological
KVPRNGWZJOIFDL	InChI=1S/C8H11NO2/c10-6-8(7(11)9-6)4-2-1-3-5-8/h1-5H2,(H,9,10,11)	C8H11NO2	134	-2658.6148806779806	2-azaspiro[3.5]nonane-1,3-dione	O=C1N=C(O)C12CCCCC2	1.81	18620389	biological
SKYHUMUZNRYJMS	InChI=1S/C8H11NO2/c10-8(11)6-9-7-4-2-1-3-5-7/h1-4,7,9H,5-6H2,(H,10,11)	C8H11NO2	135	-2659.3378342618003	DL-Dihydrophenylglycine	O=C(O)CNC1C=CC=CC1	0.3400000000000001	93533589;54311115;22328589	biological
RWFKYBVNHRKZSN	InChI=1S/C8H11NO2/c1-3-11-8(10)7-4-6(2)5-9-7/h4-5,9H,3H2,1-2H3	C8H11NO2	136	-2659.6462694670226	Ethyl 4-Methyl-2-pyrrolecarboxylate	O=C(OCC)C1=CC(=CN1)C	1.3719999999999999	643361	Natural Products:(UNPD57935);ZINC bio:(ZINC02556934)
JBJJTCGQCRGNOL	InChI=1S/C8H11NO2/c9-7(8(10)11)6-4-2-1-3-5-6/h1-2,5,7H,3-4,9H2,(H,10,11)	C8H11NO2	137	-2659.687226404348	D-(-)-Dihydro Phenylglycine	O=C(O)C(N)C1=CCC=CC1	-2.045	40501181;18937526;7157013;1268102;1268101;89381	biological
FQAUZFVCWFXHLF	InChI=1S/C8H11NO2/c10-7-5-2-1-3-6(4-5)8(11)9-7/h5-6H,1-4H2,(H,9,10,11)	C8H11NO2	138	-2661.1156635577463	3-azabicyclo[3.3.1]nonane-2,4-dione	O=C1N=C(O)C2CCCC1C2	0.861	98200197;98200194;92965868;5260190	MeSH:(3-azabicyclo(3.3.1)nonane-2,4-dione);biological
CGYIFFSHZMZBES	InChI=1S/C8H11NO2/c1-9-5-3-4-7(6-9)8(10)11-2/h3-5H,6H2,1-2H3	C8H11NO2	139	-2665.2749122697537	methyl 1-methyl-2H-pyridine-3-carboxylate	O=C(OC)C1=CC=CN(C)C1	0.8460000000000001	20042018	biological
RWFKYBVNHRKZSN	InChI=1S/C8H11NO2/c1-3-11-8(10)7-4-6(2)5-9-7/h4-5,9H,3H2,1-2H3	C8H11NO2	140	-2669.212848239952	Ethyl 4-Methyl-2-pyrrolecarboxylate	O=C(OCC)C1=CC(=CN1)C	1.3719999999999999	643361	Natural Products:(UNPD57935);ZINC bio:(ZINC02556934)
POWFPUZBWRVEHF	InChI=1S/C8H11NO2/c1-6(2)4-7(3)8(10)11-5-9/h6H,3-4H2,1-2H3	C8H11NO2	141	-2670.3329052009135	cyano 4-methyl-2-methylidenepentanoate	N#COC(=O)C(=C)CC(C)C	2.051	22999458	biological
KJZWYCAIEUYAIW	InChI=1S/C8H11NO2/c9-5-6-1-3-7(4-2-6)8(10)11/h6-7H,1-4H2,(H,10,11)	C8H11NO2	142	-2674.749824525394	4-cyanocyclohexane-1-carboxylate	N#CC1CCC(C(=O)O)CC1	0.36300000000000004	20437753;10130061	ZINC bio:(ZINC13538954)
BGTYXSMQJAWTJV	InChI=1S/C8H11NO2/c10-6-5-8(7(11)9-6)3-1-2-4-8/h1-5H2,(H,9,10,11)	C8H11NO2	143	-2675.647329859676	2-azaspiro[4.4]nonane-1,3-dione	O=C1N=C(O)CC12CCCC2	0.98	4961799	biological
KTLGOFUVPVQNON	InChI=1S/C8H11NO2/c1-2-3-6-4-7(8(10)11)9-5-6/h3,5,7H,2,4H2,1H3,(H,10,11)	C8H11NO2	144	-2678.990238057871	3-Propylidene-delta(1)-pyrroline-5-carboxylic acid	O=C(O)C1N=CC(=CCC)C1	0.5369999999999999	101638708;93495197;93495196;45082066;6444267;197546	MeSH:(3-propylidene-delta(1)-pyrroline-5-carboxylic acid 3-propylidene-delta(1)-pyrroline-5-carboxylic acid 3-propylidene-delta(1)-pyrroline-5-carboxylic acid);biological;ZINC bio:(ZINC39057645 ZINC39057646)
GGVVXUOTCYQJNE	InChI=1S/C8H11NO2/c1-2-3-7-11-8(10)5-4-6-9/h4-5H,2-3,7H2,1H3	C8H11NO2	145	-2681.306738800007	""	N#CC=CC(=O)OCCCC	1.3630000000000002	53436172;21415814	biological
OOGCHGUNVLXNNP	InChI=1S/C8H11NO2/c1-7(2)6-11-8(10)4-3-5-9/h3-4,7H,6H2,1-2H3	C8H11NO2	146	-2684.4527510695852	2-Methylpropyl 3-cyano-2-propenoate	N#CC=CC(=O)OCC(C)C	1.0910000000000002	6433594;26428	biological
JJJFUHOGVZWXNQ	InChI=1S/C8H11NO2/c1-3-4-5-11-8(10)7(2)6-9/h2-5H2,1H3	C8H11NO2	147	-2704.5010435748645	Histoacryl	N#CC(=C)C(=O)OCCCC	1.5240000000000002	23087	KEGG:(C13415);MeSH:(Enbucrilate);biological;ZINC bio:(ZINC02033854)
QRWOVIRDHQJFDB	InChI=1S/C8H11NO2/c1-6(2)5-11-8(10)7(3)4-9/h6H,3,5H2,1-2H3	C8H11NO2	148	-2705.900473726803	Bucrilate	N#CC(=C)C(=O)OCC(C)C	1.2520000000000002	14046	MeSH:(Bucrylate);biological
XKICYRRQYLCDHU	InChI=1S/C8H11NO2/c1-2-5-3-6(8(10)11)7(9)4-5/h6-7H,1,3-4,9H2,(H,10,11)	C8H11NO2	149	-2714.609799361782	(1R,2S)-2-amino-4-ethenylidenecyclopentane-1-carboxylic acid	O=C(O)C1CC(=C=C)CC1N	1.8379999999999996	75105443;5275662	biological
IUDAKVCZLISFEM	InChI=1S/C8H11NO2/c9-8(7(10)11)3-1-4-5(2-3)6(4)8/h3-6H,1-2,9H2,(H,10,11)	C8H11NO2	150	-2813.772600230389	""	O=C(O)C1(N)C2CC3C(C2)C31	-2.5460000000000003	98074940;98074936;97052864;57340541;57340540;45084783	biological
